m.diff	sd.ratio	n1	n.ratio	exp_cohen	exp_glass1	exp_glass2	exp_cohenprime	exp_shieh	var_cohen	var_glass1	var_glass2	var_cohenprime	var_shieh
0	1	100	1	0,000	0,000	0,000	0,000	0,000	1,006	1,006	1,005	1,006	1,006
1	1	100	1	0,000	0,000	0,000	0,000	0,000	0,997	0,994	0,993	0,997	0,997
2	1	100	1	0,000	0,000	0,000	0,000	0,000	0,995	0,988	0,987	0,995	0,995
3	1	100	1	0,002	0,002	0,001	0,002	0,001	0,981	0,979	0,981	0,981	0,981
4	1	100	1	0,001	0,000	0,000	0,001	0,000	0,981	0,971	0,984	0,981	0,981
0	1	20	1	0,000	0,000	0,000	0,000	0,000	0,999	0,991	0,994	0,999	0,999
1	1	20	1	0,004	0,006	0,007	0,004	0,002	0,984	0,972	0,960	0,984	0,984
2	1	20	1	0,006	0,012	0,012	0,006	0,003	0,947	0,923	0,923	0,947	0,947
3	1	20	1	0,007	0,013	0,017	0,007	0,004	0,925	0,911	0,902	0,925	0,925
4	1	20	1	0,012	0,022	0,023	0,012	0,006	0,910	0,897	0,889	0,910	0,910
0	1	50	1	0,001	0,001	0,001	0,001	0,000	0,996	0,996	0,995	0,996	0,996
1	1	50	1	0,000	0,001	0,000	0,000	0,000	0,995	0,989	0,991	0,995	0,995
2	1	50	1	0,001	0,001	0,003	0,001	0,000	0,985	0,976	0,966	0,985	0,985
3	1	50	1	0,001	0,003	0,002	0,001	0,001	0,973	0,957	0,970	0,973	0,973
4	1	50	1	0,001	0,004	0,002	0,001	0,000	0,961	0,946	0,957	0,961	0,961
			max	0,012	0,022	0,023	0,012	0,006	1,006	1,006	1,005	1,006	1,006
			min	0,000	0,000	0,000	0,000	0,000	0,910	0,897	0,889	0,910	0,910
			mean	0,002	0,004	0,005	0,002	0,001	0,976	0,966	0,966	0,976	0,976
			sd	0,003	0,006	0,007	0,003	0,002	0,028	0,033	0,035	0,028	0,028
