m.diff	sd.ratio	n1	n.ratio	exp_cohen	exp_glass1	exp_glass2	exp_cohenprime	exp_shieh	var_cohen	var_glass1	var_glass2	var_cohenprime	var_shieh
0	1	100	5	0,000	0,000	0,000	0,000	0,000	1,001	0,999	1,000	1,002	0,999
1	1	100	5	0,001	0,001	0,005	0,002	0,002	1,002	1,002	0,958	0,988	0,960
2	1	100	5	0,001	0,001	0,011	0,004	0,003	0,992	0,993	0,919	0,953	0,909
3	1	100	5	0,001	0,001	0,015	0,005	0,005	0,984	0,988	0,897	0,922	0,878
4	1	100	5	0,001	0,001	0,020	0,006	0,006	0,969	0,974	0,896	0,904	0,870
0	1	100	2	0,000	0,000	0,000	0,000	0,000	0,999	0,998	0,999	0,999	0,999
1	1	100	2	0,000	0,000	0,001	0,000	0,000	1,005	1,006	0,989	1,002	0,997
2	1	100	2	0,000	0,000	0,001	0,000	0,000	0,993	0,996	0,967	0,986	0,976
3	1	100	2	0,000	0,000	0,003	0,001	0,001	0,974	0,974	0,960	0,968	0,959
4	1	100	2	0,000	0,001	0,002	0,001	0,000	0,971	0,972	0,959	0,964	0,954
0	1	20	0,2	0,000	0,000	0,000	0,000	0,000	0,997	0,999	0,995	0,999	0,997
1	1	20	0,2	0,001	0,006	0,001	0,003	0,002	1,017	0,969	1,015	1,002	0,972
2	1	20	0,2	0,000	0,010	0,000	0,003	0,003	0,988	0,912	0,990	0,949	0,904
3	1	20	0,2	0,002	0,014	0,002	0,004	0,004	0,980	0,895	0,985	0,919	0,875
4	1	20	0,2	0,001	0,017	0,001	0,005	0,005	0,974	0,893	0,982	0,902	0,865
0	1	20	0,4	0,001	0,001	0,001	0,001	0,000	1,007	1,003	1,004	1,007	1,005
1	1	20	0,4	0,002	0,007	0,003	0,003	0,002	0,992	0,964	0,988	0,986	0,973
2	1	20	0,4	0,003	0,010	0,003	0,004	0,003	0,977	0,919	0,978	0,957	0,926
3	1	20	0,4	0,003	0,016	0,003	0,005	0,004	0,955	0,891	0,962	0,924	0,887
4	1	20	0,4	0,004	0,019	0,004	0,007	0,005	0,951	0,892	0,965	0,914	0,877
0	1	50	0,5	0,001	0,001	0,001	0,001	0,000	1,000	0,998	0,999	1,000	0,999
1	1	50	0,5	0,001	0,002	0,001	0,001	0,001	0,993	0,981	0,994	0,990	0,986
2	1	50	0,5	0,000	0,001	0,000	0,000	0,000	0,990	0,971	0,990	0,984	0,975
3	1	50	0,5	0,001	0,004	0,000	0,001	0,001	0,983	0,949	0,987	0,972	0,957
4	1	50	0,5	0,000	0,002	0,000	0,000	0,000	0,982	0,963	0,984	0,973	0,961
0	1	50	2,5	0,000	0,000	0,000	0,000	0,000	1,002	0,999	0,999	1,002	1,001
1	1	50	2,5	0,001	0,001	0,005	0,002	0,002	0,989	0,985	0,961	0,983	0,970
2	1	50	2,5	0,001	0,001	0,011	0,003	0,003	0,977	0,978	0,914	0,957	0,924
3	1	50	2,5	0,003	0,004	0,015	0,005	0,004	0,966	0,965	0,909	0,940	0,904
4	1	50	2,5	0,005	0,004	0,027	0,010	0,008	0,951	0,958	0,881	0,916	0,876
			max	0,005	0,019	0,027	0,010	0,008	1,017	1,006	1,015	1,007	1,005
			min	0,000	0,000	0,000	0,000	0,000	0,951	0,891	0,881	0,902	0,865
			mean	0,001	0,004	0,005	0,003	0,002	0,985	0,966	0,968	0,965	0,945
			sd	0,001	0,006	0,007	0,002	0,002	0,017	0,037	0,036	0,034	0,048
