m.diff	sd.ratio	n1	n.ratio	exp_cohen	exp_glass1	exp_glass2	exp_cohenprime	exp_shieh	var_cohen	var_glass1	var_glass2	var_cohenprime	var_shieh
0	10	100	1	0,001	0,001	0,009	0,001	0,001	1,011	1,001	1,000	1,001	1,001
0	4	100	1	0,001	0,001	0,002	0,001	0,000	1,005	0,997	0,997	0,997	0,997
0	2	100	1	0,000	0,000	0,000	0,000	0,000	1,007	1,003	1,003	1,003	1,003
0	0,1	100	1	0,001	0,010	0,001	0,001	0,001	1,008	0,998	0,998	0,998	0,998
0	0,5	100	1	0,000	0,000	0,000	0,000	0,000	1,006	1,002	1,002	1,002	1,002
0	0,25	100	1	0,000	0,000	0,000	0,000	0,000	1,007	0,998	0,999	0,999	0,999
1	10	100	1	0,004	0,001	0,004	0,001	0,000	1,193	0,987	0,985	0,987	0,987
1	4	100	1	0,004	0,000	0,000	0,000	0,000	1,148	0,988	0,988	0,988	0,988
1	2	100	1	0,001	0,001	0,002	0,001	0,000	1,052	0,986	0,988	0,987	0,987
1	0,1	100	1	0,000	0,003	0,000	0,000	0,000	1,017	1,003	1,004	1,004	1,004
1	0,5	100	1	0,001	0,001	0,000	0,000	0,000	1,014	0,993	0,993	0,993	0,993
1	0,25	100	1	0,001	0,000	0,000	0,000	0,000	1,017	0,996	0,998	0,998	0,998
2	10	100	1	0,009	0,001	0,009	0,002	0,001	1,484	0,986	0,978	0,985	0,985
2	4	100	1	0,007	0,001	0,002	0,002	0,001	1,373	0,983	0,988	0,982	0,982
2	2	100	1	0,003	0,000	0,001	0,000	0,000	1,144	0,980	0,982	0,979	0,979
2	0,1	100	1	0,000	0,005	0,001	0,001	0,000	1,018	0,999	0,999	0,999	0,999
2	0,5	100	1	0,002	0,001	0,000	0,000	0,000	1,052	0,990	0,986	0,987	0,987
2	0,25	100	1	0,002	0,000	0,000	0,000	0,000	1,061	1,001	1,008	1,007	1,007
3	10	100	1	0,015	0,000	0,006	0,001	0,000	1,654	0,976	0,976	0,975	0,975
3	4	100	1	0,013	0,000	0,005	0,000	0,000	1,516	0,978	0,975	0,976	0,976
3	2	100	1	0,005	0,000	0,003	0,000	0,000	1,212	0,980	0,971	0,977	0,977
3	0,1	100	1	0,001	0,004	0,000	0,001	0,000	1,034	1,002	1,002	1,002	1,002
3	0,5	100	1	0,002	0,001	0,000	0,000	0,000	1,114	0,988	0,996	0,995	0,995
3	0,25	100	1	0,002	0,000	0,001	0,001	0,000	1,090	0,995	0,988	0,989	0,989
4	10	100	1	0,019	0,001	0,004	0,002	0,001	1,753	0,974	0,974	0,973	0,973
4	4	100	1	0,014	0,002	0,001	0,003	0,001	1,593	0,973	0,969	0,971	0,971
4	2	100	1	0,007	0,001	0,000	0,000	0,000	1,243	0,970	0,977	0,968	0,968
4	0,1	100	1	0,004	0,009	0,001	0,001	0,001	1,044	0,995	0,996	0,996	0,996
4	0,5	100	1	0,002	0,003	0,001	0,001	0,001	1,152	0,981	0,988	0,986	0,986
4	0,25	100	1	0,003	0,003	0,000	0,001	0,000	1,152	0,992	0,991	0,992	0,992
0	10	20	1	0,001	0,001	0,003	0,001	0,000	1,060	1,004	0,991	1,004	1,004
0	4	20	1	0,001	0,001	0,003	0,001	0,001	1,049	1,004	0,991	1,003	1,003
0	2	20	1	0,000	0,000	0,000	0,000	0,000	1,024	1,002	0,995	1,003	1,003
0	0,1	20	1	0,001	0,008	0,001	0,001	0,001	1,052	0,986	0,996	0,996	0,996
0	0,5	20	1	0,000	0,000	0,000	0,000	0,000	1,027	0,996	1,005	1,006	1,006
0	0,25	20	1	0,001	0,002	0,001	0,001	0,001	1,046	0,991	1,001	1,001	1,001
1	10	20	1	0,023	0,004	0,054	0,006	0,003	1,242	0,959	0,947	0,959	0,959
1	4	20	1	0,015	0,006	0,022	0,008	0,004	1,169	0,953	0,950	0,952	0,952
1	2	20	1	0,004	0,006	0,012	0,005	0,003	1,061	0,966	0,960	0,972	0,972
1	0,1	20	1	0,002	0,001	0,000	0,000	0,000	1,055	0,984	0,996	0,996	0,996
1	0,5	20	1	0,003	0,004	0,002	0,002	0,001	1,025	0,973	0,981	0,985	0,985
1	0,25	20	1	0,004	0,005	0,001	0,002	0,001	1,056	0,985	0,997	0,997	0,997
2	10	20	1	0,045	0,009	0,098	0,013	0,006	1,501	0,918	0,913	0,916	0,916
2	4	20	1	0,033	0,010	0,043	0,013	0,006	1,359	0,916	0,907	0,908	0,908
2	2	20	1	0,010	0,010	0,018	0,009	0,004	1,104	0,915	0,917	0,917	0,917
2	0,1	20	1	0,004	0,012	0,001	0,002	0,001	1,074	0,996	1,005	1,005	1,005
2	0,5	20	1	0,006	0,007	0,004	0,003	0,002	1,049	0,947	0,957	0,961	0,961
2	0,25	20	1	0,007	0,013	0,003	0,004	0,002	1,082	0,971	0,985	0,984	0,984
3	10	20	1	0,065	0,016	0,160	0,022	0,011	1,662	0,901	0,890	0,899	0,899
