m.diff	sd.ratio	n1	n.ratio	exp_cohen	exp_glass1	exp_glass2	exp_cohenprime	exp_shieh	var_cohen	var_glass1	var_glass2	var_cohenprime	var_shieh
0	10	100	5	0,000	0,000	0,001	0,000	0,000	0,211	1,009	0,996	1,009	1,009
0	4	100	5	0,000	0,000	0,002	0,001	0,000	0,259	1,001	0,996	1,001	1,002
0	2	100	5	0,000	0,000	0,001	0,001	0,000	0,424	0,993	0,989	0,994	0,992
0	0,1	100	5	0,002	0,007	0,001	0,001	0,000	5,395	1,004	1,008	1,008	1,008
0	0,5	100	5	0,001	0,001	0,000	0,001	0,000	2,395	1,003	1,002	1,002	1,001
0	0,25	100	5	0,002	0,004	0,001	0,001	0,000	4,144	1,001	1,001	1,001	1,001
1	10	100	5	0,001	0,000	0,055	0,000	0,000	0,282	0,986	0,904	0,986	0,986
1	4	100	5	0,001	0,000	0,025	0,000	0,000	0,327	0,994	0,901	0,992	0,981
1	2	100	5	0,001	0,000	0,009	0,000	0,001	0,474	0,992	0,925	0,991	0,954
1	0,1	100	5	0,006	0,002	0,001	0,001	0,000	5,378	1,000	1,004	1,004	1,004
1	0,5	100	5	0,002	0,000	0,002	0,002	0,001	2,337	0,995	0,985	0,986	0,984
1	0,25	100	5	0,008	0,001	0,001	0,001	0,000	4,117	0,998	0,994	0,994	0,994
2	10	100	5	0,002	0,001	0,095	0,001	0,000	0,455	0,991	0,880	0,990	0,989
2	4	100	5	0,002	0,001	0,039	0,001	0,001	0,480	0,982	0,890	0,981	0,964
2	2	100	5	0,001	0,001	0,018	0,001	0,002	0,582	0,982	0,900	0,971	0,903
2	0,1	100	5	0,012	0,005	0,001	0,002	0,001	5,387	1,001	1,003	1,003	1,003
2	0,5	100	5	0,005	0,000	0,005	0,004	0,002	2,228	0,997	0,956	0,959	0,954
2	0,25	100	5	0,015	0,000	0,002	0,003	0,001	4,080	0,998	0,988	0,987	0,987
3	10	100	5	0,003	0,001	0,129	0,001	0,001	0,623	0,979	0,881	0,978	0,977
3	4	100	5	0,001	0,002	0,071	0,003	0,002	0,633	0,970	0,872	0,968	0,944
3	2	100	5	0,001	0,001	0,027	0,002	0,003	0,703	0,988	0,895	0,970	0,882
3	0,1	100	5	0,020	0,003	0,001	0,002	0,000	5,414	1,006	1,004	1,003	1,004
3	0,5	100	5	0,006	0,001	0,008	0,007	0,003	2,086	0,999	0,931	0,928	0,926
3	0,25	100	5	0,024	0,000	0,003	0,004	0,001	4,042	1,005	0,978	0,977	0,977
4	10	100	5	0,005	0,001	0,219	0,001	0,001	0,754	0,970	0,875	0,969	0,968
4	4	100	5	0,005	0,000	0,074	0,000	0,000	0,756	0,966	0,876	0,964	0,939
4	2	100	5	0,003	0,000	0,035	0,000	0,003	0,787	0,973	0,885	0,963	0,874
4	0,1	100	5	0,023	0,008	0,003	0,004	0,001	5,349	0,998	0,985	0,985	0,985
4	0,5	100	5	0,007	0,003	0,011	0,010	0,004	1,942	0,994	0,910	0,900	0,903
4	0,25	100	5	0,031	0,000	0,005	0,006	0,002	3,949	1,001	0,961	0,958	0,960
0	10	100	2	0,000	0,000	0,001	0,000	0,000	0,507	0,996	0,995	0,996	0,996
0	4	100	2	0,000	0,000	0,001	0,000	0,000	0,546	0,999	0,998	0,999	0,999
0	2	100	2	0,000	0,000	0,001	0,000	0,000	0,666	0,999	0,997	0,999	0,999
0	0,1	100	2	0,001	0,004	0,000	0,001	0,000	2,035	0,999	0,999	0,999	0,999
0	0,5	100	2	0,000	0,000	0,000	0,000	0,000	1,520	1,003	1,003	1,003	1,003
0	0,25	100	2	0,000	0,000	0,000	0,000	0,000	1,887	1,003	1,004	1,004	1,004
1	10	100	2	0,003	0,000	0,008	0,000	0,000	0,644	0,987	0,972	0,986	0,986
1	4	100	2	0,003	0,000	0,003	0,001	0,000	0,671	0,999	0,978	0,999	0,999
1	2	100	2	0,001	0,000	0,001	0,000	0,000	0,731	0,985	0,979	0,988	0,989
1	0,1	100	2	0,002	0,001	0,000	0,000	0,000	2,052	1,006	1,006	1,006	1,006
1	0,5	100	2	0,001	0,001	0,000	0,000	0,000	1,511	0,995	0,997	0,996	0,996
1	0,25	100	2	0,003	0,001	0,000	0,000	0,000	1,891	1,000	1,000	1,000	1,000
2	10	100	2	0,006	0,000	0,020	0,000	0,000	0,894	0,984	0,954	0,983	0,983
2	4	100	2	0,004	0,001	0,005	0,001	0,000	0,873	0,976	0,950	0,974	0,972
2	2	100	2	0,004	0,001	0,004	0,001	0,000	0,869	0,991	0,956	0,989	0,986
2	0,1	100	2	0,004	0,002	0,000	0,000	0,000	2,034	0,991	0,992	0,992	0,992
2	0,5	100	2	0,003	0,001	0,001	0,001	0,000	1,508	0,998	0,989	0,991	0,989
2	0,25	100	2	0,005	0,000	0,000	0,001	0,000	1,906	0,995	0,990	0,991	0,990
3	10	100	2	0,010	0,000	0,036	0,001	0,000	1,090	0,985	0,949	0,985	0,984
3	4	100	2	0,008	0,000	0,012	0,001	0,000	1,047	0,979	0,946	0,976	0,975
3	2	100	2	0,002	0,001	0,010	0,002	0,001	0,964	0,975	0,949	0,974	0,972
3	0,1	100	2	0,003	0,008	0,001	0,001	0,001	2,054	0,993	0,994	0,994	0,994
3	0,5	100	2	0,006	0,001	0,000	0,000	0,000	1,486	0,987	0,976	0,975	0,974
3	0,25	100	2	0,009	0,000	0,000	0,000	0,000	1,945	1,004	0,987	0,987	0,987
4	10	100	2	0,011	0,001	0,025	0,001	0,001	1,209	0,981	0,943	0,981	0,980
4	4	100	2	0,008	0,002	0,019	0,003	0,002	1,155	0,977	0,943	0,975	0,973
4	2	100	2	0,006	0,000	0,004	0,001	0,000	1,041	0,981	0,951	0,978	0,974
4	0,1	100	2	0,008	0,004	0,000	0,001	0,000	2,083	0,996	0,997	0,997	0,997
4	0,5	100	2	0,005	0,001	0,003	0,002	0,001	1,461	0,981	0,960	0,957	0,956
4	0,25	100	2	0,011	0,001	0,001	0,001	0,000	1,992	0,999	0,985	0,985	0,985
0	10	20	0,2	0,001	0,000	0,001	0,000	0,000	5,359	1,001	1,000	1,001	1,001
0	4	20	0,2	0,002	0,001	0,002	0,001	0,000	4,135	0,998	0,999	0,998	0,998
0	2	20	0,2	0,001	0,001	0,002	0,001	0,000	2,396	1,003	1,003	1,003	1,002
0	0,1	20	0,2	0,000	0,003	0,000	0,000	0,000	0,208	0,982	0,998	0,998	0,998
0	0,5	20	0,2	0,000	0,001	0,000	0,000	0,000	0,425	0,992	0,996	0,997	0,996
0	0,25	20	0,2	0,000	0,001	0,000	0,000	0,000	0,257	0,982	0,996	0,995	0,995
1	10	20	0,2	0,065	0,005	0,006	0,007	0,002	5,505	0,967	1,001	0,966	0,966
1	4	20	0,2	0,032	0,004	0,003	0,006	0,002	3,927	0,952	1,002	0,951	0,952
1	2	20	0,2	0,004	0,005	0,001	0,005	0,002	2,236	0,956	1,006	0,959	0,954
1	0,1	20	0,2	0,000	0,004	0,000	0,000	0,000	0,212	0,995	1,011	1,011	1,011
1	0,5	20	0,2	0,001	0,003	0,001	0,001	0,000	0,441	0,972	1,000	1,000	0,988
1	0,25	20	0,2	0,000	0,005	0,000	0,000	0,000	0,261	0,973	0,993	0,993	0,993
2	10	20	0,2	0,125	0,011	0,006	0,016	0,005	5,491	0,907	0,988	0,905	0,907
2	4	20	0,2	0,061	0,009	0,005	0,012	0,004	3,633	0,910	0,994	0,902	0,908
2	2	20	0,2	0,008	0,010	0,000	0,010	0,004	1,947	0,910	0,997	0,901	0,902
2	0,1	20	0,2	0,000	0,008	0,000	0,000	0,000	0,211	0,976	0,995	0,995	0,995
2	0,5	20	0,2	0,001	0,008	0,000	0,000	0,001	0,476	0,927	0,996	0,992	0,954
2	0,25	20	0,2	0,000	0,012	0,000	0,001	0,000	0,276	0,943	0,996	0,996	0,994
3	10	20	0,2	0,191	0,015	0,010	0,021	0,006	5,624	0,904	0,991	0,901	0,904
3	4	20	0,2	0,084	0,018	0,009	0,024	0,007	3,497	0,897	0,988	0,884	0,893
3	2	20	0,2	0,014	0,014	0,002	0,013	0,005	1,756	0,896	0,994	0,877	0,886
3	0,1	20	0,2	0,000	0,014	0,000	0,000	0,000	0,216	0,965	0,999	0,999	0,999
3	0,5	20	0,2	0,000	0,019	0,001	0,001	0,002	0,527	0,892	0,991	0,983	0,919
3	0,25	20	0,2	0,001	0,014	0,000	0,000	0,000	0,298	0,926	0,995	0,995	0,990
