m.diff	sd.ratio	n1	n.ratio	exp_cohen	exp_glass1	exp_glass2	exp_cohenprime	exp_shieh	var_cohen	var_glass1	var_glass2	var_cohenprime	var_shieh
0	1	100	1	0	0	0	0	0	1,006	1,006	1,005	1,006	1,006
1	1	100	1	0	0	0	0	0	0,997	0,994	0,993	0,997	0,997
2	1	100	1	0	0	0	0	0	0,995	0,988	0,987	0,995	0,995
3	1	100	1	0,002	0,002	0,001	0,002	0,001	0,981	0,979	0,981	0,981	0,981
4	1	100	1	0,001	0	0	0	0	0,981	0,971	0,984	0,981	0,981
0	1	20	1	0	0	0	0	0	0,999	0,991	0,994	0,997	0,997
1	1	20	1	0,004	0,006	0,006	0,004	0,002	0,984	0,972	0,96	0,982	0,982
2	1	20	1	0,006	0,011	0,011	0,008	0,004	0,947	0,923	0,923	0,945	0,945
3	1	20	1	0,007	0,012	0,017	0,01	0,005	0,926	0,911	0,902	0,923	0,923
4	1	20	1	0,011	0,021	0,022	0,015	0,008	0,911	0,897	0,889	0,908	0,908
0	1	50	1	0,001	0,001	0,001	0,001	0	0,996	0,996	0,995	0,996	0,996
1	1	50	1	0	0,001	0	0	0	0,995	0,989	0,991	0,995	0,995
2	1	50	1	0,001	0,001	0,003	0,001	0,001	0,985	0,976	0,966	0,984	0,984
3	1	50	1	0,001	0,003	0,002	0,002	0,001	0,973	0,957	0,97	0,972	0,972
4	1	50	1	0,001	0,004	0,002	0,001	0,001	0,961	0,946	0,957	0,961	0,961
			max	0,011	0,021	0,022	0,015	0,008	1,006	1,006	1,005	1,006	1,006
			min	0	0	0	0	0	0,911	0,897	0,889	0,908	0,908
			mean	0,002	0,004	0,004	0,003	0,002	0,976	0,966	0,966	0,975	0,975
			sd	0,003	0,006	0,007	0,004	0,002	0,028	0,033	0,035	0,029	0,029
