m.diff	sd.ratio	n1	n.ratio	exp_cohen	exp_glass1	exp_glass2	exp_cohenprime	exp_shieh	var_cohen	var_glass1	var_glass2	var_cohenprime	var_shieh
0	1	100	5	0	0	0	0	0	1,001	0,999	1	1,002	1,002
1	1	100	5	0,001	0,001	0,005	0,002	0,001	1,002	1,002	0,958	0,992	0,972
2	1	100	5	0,001	0,001	0,01	0,003	0,002	0,992	0,993	0,919	0,965	0,933
3	1	100	5	0,001	0,001	0,014	0,004	0,003	0,984	0,988	0,897	0,941	0,909
4	1	100	5	0,001	0,001	0,019	0,006	0,004	0,969	0,974	0,896	0,928	0,904
0	1	100	2	0	0	0	0	0	0,999	0,998	0,999	0,999	0,999
1	1	100	2	0	0	0,001	0	0	1,005	1,006	0,989	1,002	0,999
2	1	100	2	0	0	0,001	0	0	0,993	0,996	0,967	0,988	0,981
3	1	100	2	0	0	0,003	0,001	0,001	0,974	0,974	0,96	0,971	0,967
4	1	100	2	0	0,001	0,002	0,001	0	0,971	0,972	0,959	0,967	0,963
0	1	20	0,2	0	0	0	0	0	0,997	0,999	0,995	0,999	1
1	1	20	0,2	0,001	0,006	0,001	0,002	0,002	1,017	0,969	1,015	1,006	0,985
2	1	20	0,2	0	0,009	0	0,002	0,002	0,988	0,912	0,99	0,961	0,928
3	1	20	0,2	0,002	0,014	0,002	0,004	0,003	0,98	0,895	0,985	0,938	0,906
4	1	20	0,2	0,001	0,016	0,001	0,004	0,003	0,974	0,893	0,982	0,926	0,9
0	1	20	0,4	0,001	0,001	0,001	0,001	0	1,007	1,003	1,004	1,007	1,007
1	1	20	0,4	0,002	0,006	0,003	0,003	0,002	0,992	0,964	0,988	0,988	0,981
2	1	20	0,4	0,002	0,01	0,003	0,004	0,002	0,977	0,919	0,978	0,962	0,944
3	1	20	0,4	0,003	0,015	0,003	0,006	0,003	0,955	0,891	0,962	0,933	0,912
4	1	20	0,4	0,004	0,018	0,004	0,007	0,004	0,951	0,892	0,965	0,925	0,906
0	1	50	0,5	0,001	0,001	0,001	0,001	0	1	0,998	0,999	1	0,999
1	1	50	0,5	0,001	0,002	0,001	0,002	0,001	0,993	0,981	0,994	0,991	0,988
2	1	50	0,5	0	0,001	0	0	0	0,99	0,971	0,99	0,986	0,981
3	1	50	0,5	0,001	0,004	0	0,002	0,001	0,983	0,949	0,987	0,974	0,965
4	1	50	0,5	0	0,002	0	0	0	0,982	0,963	0,984	0,976	0,97
0	1	50	2,5	0	0	0	0	0	1,002	0,999	0,999	1,002	1,002
1	1	50	2,5	0,001	0,001	0,005	0,002	0,001	0,989	0,985	0,961	0,985	0,978
2	1	50	2,5	0,001	0,001	0,01	0,003	0,002	0,977	0,978	0,914	0,962	0,942
3	1	50	2,5	0,003	0,004	0,014	0,006	0,003	0,966	0,965	0,909	0,949	0,93
4	1	50	2,5	0,005	0,004	0,026	0,01	0,007	0,951	0,958	0,881	0,927	0,905
			max	0,005	0,018	0,026	0,01	0,007	1,017	1,006	1,015	1,007	1,007
			min	0	0	0	0	0	0,951	0,891	0,881	0,925	0,9
			mean	0,001	0,004	0,004	0,003	0,002	0,985	0,966	0,968	0,972	0,959
			sd	0,001	0,005	0,006	0,003	0,002	0,017	0,037	0,036	0,027	0,037
