m.diff	sd.ratio	n1	n.ratio	exp_cohen	exp_glass1	exp_glass2	exp_cohenprime	exp_shieh	var_cohen	var_glass1	var_glass2	var_cohenprime	var_shieh
0	10	100	5	0	0	0,001	0	0	0,211	1,009	0,996	1,009	1,009
0	4	100	5	0	0	0,002	0,001	0	0,259	1,001	0,996	1,001	1,002
0	2	100	5	0	0	0,001	0,001	0	0,424	0,993	0,989	0,994	0,993
0	0,1	100	5	0,002	0,007	0,001	0,001	0	5,395	1,004	1,008	1,009	1,008
0	0,5	100	5	0,001	0,001	0	0,001	0	2,395	1,003	1,002	1,005	1,003
0	0,25	100	5	0,002	0,004	0,001	0,001	0	4,144	1,001	1,001	1,003	1,002
1	10	100	5	0,001	0	0,053	0	0	0,282	0,986	0,904	0,986	0,986
1	4	100	5	0,001	0	0,024	0	0	0,327	0,994	0,901	0,993	0,982
1	2	100	5	0,001	0	0,009	0	0,001	0,474	0,992	0,925	0,991	0,967
1	0,1	100	5	0,006	0,002	0,001	0,001	0	5,378	1	1,004	1,004	1,004
1	0,5	100	5	0,002	0	0,002	0,002	0,001	2,337	0,995	0,985	0,992	0,987
1	0,25	100	5	0,008	0,001	0,001	0,001	0	4,117	0,998	0,994	0,996	0,995
2	10	100	5	0,002	0,001	0,092	0,001	0	0,455	0,991	0,88	0,991	0,99
2	4	100	5	0,002	0,001	0,038	0,001	0,001	0,48	0,982	0,89	0,982	0,965
2	2	100	5	0,001	0,001	0,017	0,001	0,002	0,582	0,982	0,9	0,971	0,929
2	0,1	100	5	0,012	0,005	0,001	0,002	0	5,387	1,001	1,003	1,003	1,003
2	0,5	100	5	0,005	0	0,005	0,003	0,002	2,228	0,997	0,956	0,972	0,961
2	0,25	100	5	0,015	0	0,002	0,003	0,001	4,08	0,998	0,988	0,99	0,988
3	10	100	5	0,003	0,001	0,124	0,001	0,001	0,623	0,979	0,881	0,979	0,978
3	4	100	5	0,001	0,002	0,068	0,003	0,003	0,633	0,97	0,872	0,969	0,945
3	2	100	5	0,001	0,001	0,026	0,002	0,003	0,703	0,988	0,895	0,97	0,914
3	0,1	100	5	0,02	0,003	0,001	0,001	0	5,414	1,006	1,004	1,004	1,004
3	0,5	100	5	0,006	0,001	0,007	0,005	0,003	2,086	0,999	0,931	0,949	0,935
3	0,25	100	5	0,024	0	0,003	0,003	0,001	4,042	1,005	0,978	0,983	0,979
