"n1";"n2";"m1";"m2";"sd1";"sd2";"p_cohen";"d_cohen";"g_cohen";"p_glass1";"d_glass1";"g_glass1";"p_glass2";"d_glass2";"g_glass2";"p'_cohen";"d'_cohen";"g'_cohen";"p_shieh";"d_shieh";"g_shieh"
"1";100;100;0;0;1;0,1;0,05286;0,05286;0,05286;0,05139;0,05138;0,05138;0,05139;0,05139;0,05139;0,05148;0,05148;0,05148;0,05148;0,05148;0,05148
"2";100;100;0;0;1;0,25;0,05347;0,05347;0,05347;0,05178;0,05176;0,05176;0,05178;0,05178;0,05178;0,05227;0,05227;0,05227;0,05227;0,05227;0,05227
"3";100;100;0;0;1;0,5;0,05049;0,05049;0,05049;0,04927;0,04927;0,04927;0,04927;0,04927;0,04927;0,04996;0,04996;0,04996;0,04996;0,04996;0,04996
"4";100;100;0;0;1;1;0,04884;0,04884;0,04884;0,04738;0,04738;0,04738;0,04738;0,04738;0,04738;0,04878;0,04878;0,04878;0,04878;0,04878;0,04878
"5";100;100;0;0;1;10;0,05378;0,05378;0,05378;0,05213;0,05213;0,05213;0,05213;0,05213;0,05213;0,0522;0,0522;0,0522;0,0522;0,0522;0,0522
"6";100;100;0;0;1;2;0,05136;0,05136;0,05136;0,04984;0,04984;0,04984;0,04984;0,04984;0,04984;0,05084;0,05083;0,05083;0,05084;0,05083;0,05083
"7";100;100;0;0;1;4;0,05175;0,05175;0,05175;0,05054;0,05054;0,05054;0,05054;0,05053;0,05053;0,05081;0,05081;0,05081;0,05081;0,05081;0,05081
"8";100;100;1;0;1;0,1;0,99976;0,99976;0,99976;0,99976;0,99976;0,99976;0,99976;0,99976;0,99976;0,99976;0,99976;0,99976;0,99976;0,99976;0,99976
"9";100;100;1;0;1;0,25;0,99975;0,99975;0,99975;0,99974;0,99974;0,99974;0,99974;0,99974;0,99974;0,99975;0,99975;0,99975;0,99975;0,99975;0,99975
"10";100;100;1;0;1;0,5;0,99975;0,99975;0,99975;0,99974;0,99974;0,99974;0,99974;0,99974;0,99974;0,99974;0,99974;0,99974;0,99974;0,99974;0,99974
"11";100;100;1;0;1;1;0,9996;0,9996;0,9996;0,99958;0,99958;0,99958;0,99958;0,99958;0,99958;0,99959;0,99959;0,99959;0,99959;0,99959;0,99959
