"n1";"n2";"m1";"m2";"sd1";"sd2";"p_cohen";"d_cohen";"g_cohen";"p_glass1";"d_glass1";"g_glass1";"p_glass2";"d_glass2";"g_glass2";"p'_cohen";"d'_cohen";"g'_cohen";"p_shieh";"d_shieh";"g_shieh"
"1";100;100;0;0;1;0,1;0,05176;0,05176;0,05176;0,05053;0,05053;0,05053;0,05053;0,05053;0,05053;0,05053;0,05053;0,05053;0,05053;0,05053;0,05053
"2";100;100;0;0;1;0,25;0,05121;0,0512;0,0512;0,04967;0,04967;0,04967;0,04967;0,04967;0,04967;0,05004;0,05004;0,05004;0,05004;0,05004;0,05004
"3";100;100;0;0;1;0,5;0,05067;0,05067;0,05067;0,04927;0,04927;0,04927;0,04927;0,04927;0,04927;0,05026;0,05026;0,05026;0,05026;0,05026;0,05026
"4";100;100;0;0;1;1;0,05085;0,05085;0,05085;0,04958;0,04958;0,04958;0,04958;0,04958;0,04958;0,05084;0,05084;0,05084;0,05084;0,05084;0,05084
"5";100;100;0;0;1;10;0,05203;0,05203;0,05203;0,05053;0,05053;0,05053;0,05053;0,05053;0,05053;0,05056;0,05055;0,05055;0,05056;0,05055;0,05055
"6";100;100;0;0;1;2;0,05064;0,05064;0,05064;0,0491;0,0491;0,0491;0,0491;0,0491;0,0491;0,05012;0,0501200000000001;0,0501200000000001;0,05012;0,0501200000000001;0,0501200000000001
"7";100;100;0;0;1;4;0,05109;0,05108;0,05108;0,04971;0,04971;0,04971;0,04971;0,04971;0,04971;0,04994;0,04993;0,04993;0,04994;0,04993;0,04993
"8";100;100;1;0;1;0,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"9";100;100;1;0;1;0,25;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"10";100;100;1;0;1;0,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"11";100;100;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"12";100;100;1;0;1;10;0,16971;0,16969;0,16969;0,16698;0,16698;0,16698;0,16698;0,16698;0,16698;0,16711;0,1671;0,1671;0,16711;0,1671;0,1671
"13";100;100;1;0;1;2;0,99384;0,99384;0,99384;0,99359;0,99358;0,99358;0,99359;0,99359;0,99359;0,99374;0,99374;0,99374;0,99374;0,99374;0,99374
"14";100;100;1;0;1;4;0,67457;0,67457;0,67457;0,66996;0,66995;0,66995;0,66996;0,66996;0,66996;0,67101;0,671;0,671;0,67101;0,671;0,671
"15";100;20;0;0;1;0,1;5e-05;4,99999999999945e-05;4,99999999999945e-05;0,05058;0,05058;0,05058;0,03939;0,03939;0,03939;0,05064;0,05064;0,05064;0,0508;0,0508;0,0508
"16";100;20;0;0;1;0,25;0,00021;0,000210000000000043;0,000210000000000043;0,04968;0,0496799999999999;0,0496799999999999;0,03845;0,03845;0,03845;0,04991;0,04991;0,04991;0,04995;0,04995;0,04995
