"n1";"n2";"m1";"m2";"sd1";"sd2";"p_cohen";"d_cohen";"g_cohen";"p_glass1";"d_glass1";"g_glass1";"p_glass2";"d_glass2";"g_glass2";"p'_cohen";"d'_cohen";"g'_cohen";"p_shieh";"d_shieh";"g_shieh"
"1";100;100;0;0;1;0,1;0,04937;0,04937;0,04937;0,04803;0,04803;0,04803;0,04803;0,04802;0,04802;0,04811;0,04811;0,04811;0,04811;0,04811;0,04811
"2";100;100;0;0;1;0,25;0,04945;0,04945;0,04945;0,04819;0,04818;0,04818;0,04819;0,04819;0,04819;0,04846;0,04845;0,04845;0,04846;0,04845;0,04845
"3";100;100;0;0;1;0,5;0,05055;0,05055;0,05055;0,04914;0,04913;0,04913;0,04914;0,04914;0,04914;0,05005;0,05005;0,05005;0,05005;0,05005;0,05005
"4";100;100;0;0;1;1;0,04872;0,04872;0,04872;0,04748;0,04748;0,04748;0,04748;0,04748;0,04748;0,04868;0,0486799999999999;0,0486799999999999;0,04868;0,0486799999999999;0,0486799999999999
"5";100;100;0;0;1;10;0,05003;0,05003;0,05003;0,0485;0,0485;0,0485;0,0485;0,0485;0,0485;0,04859;0,04859;0,04859;0,04859;0,04859;0,04859
"6";100;100;0;0;1;2;0,04887;0,04887;0,04887;0,04743;0,04743;0,04743;0,04743;0,04743;0,04743;0,04847;0,04847;0,04847;0,04847;0,04847;0,04847
"7";100;100;0;0;1;4;0,05062;0,05062;0,05062;0,04901;0,04901;0,04901;0,04901;0,04901;0,04901;0,04943;0,04943;0,04943;0,04943;0,04943;0,04943
"8";100;100;1;0;1;0,1;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992
"9";100;100;1;0;1;0,25;0,99986;0,99986;0,99986;0,99986;0,99986;0,99986;0,99986;0,99986;0,99986;0,99986;0,99986;0,99986;0,99986;0,99986;0,99986
"10";100;100;1;0;1;0,5;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999
"11";100;100;1;0;1;1;0,9998;0,9998;0,9998;0,9998;0,9998;0,9998;0,9998;0,9998;0,9998;0,9998;0,9998;0,9998;0,9998;0,9998;0,9998
"12";100;100;1;0;1;10;0,17774;0,17774;0,17774;0,17462;0,17461;0,17461;0,17462;0,17462;0,17462;0,17477;0,17477;0,17477;0,17477;0,17477;0,17477
"13";100;100;1;0;1;2;0,98933;0,98933;0,98933;0,98919;0,98919;0,98919;0,98919;0,98919;0,98919;0,98929;0,98929;0,98929;0,98929;0,98929;0,98929
"14";100;100;1;0;1;4;0,68889;0,68889;0,68889;0,68491;0,6849;0,6849;0,68491;0,68491;0,68491;0,68572;0,68572;0,68572;0,68572;0,68572;0,68572
"15";100;20;0;0;1;0,1;2e-05;2,000000000002e-05;2,000000000002e-05;0,04811;0,0481;0,0481;0,03716;0,03716;0,03716;0,0482;0,0482;0,0482;0,04841;0,04841;0,04841
"16";100;20;0;0;1;0,25;0,00016;0,000160000000000049;0,000160000000000049;0,04729;0,0472900000000001;0,0472900000000001;0,03606;0,03606;0,03606;0,04757;0,04756;0,04756;0,04748;0,04747;0,04747
"17";100;20;0;0;1;0,5;0,00414;0,00414000000000003;0,00414000000000003;0,0503;0,0503;0,0503;0,03869;0,03869;0,03869;0,05061;0,05061;0,05061;0,04824;0,0482399999999999;0,0482399999999999
"18";100;20;0;0;1;1;0,05138;0,05138;0,05138;0,05435;0,05435;0,05435;0,04285;0,0428500000000001;0,0428500000000001;0,05302;0,05302;0,05302;0,04781;0,04781;0,04781
"19";100;20;0;0;1;10;0,39054;0,39054;0,39054;0,05871;0,05871;0,05871;0,04674;0,04674;0,04674;0,04709;0,04709;0,04709;0,0468;0,0468;0,0468
"20";100;20;0;0;1;2;0,19783;0,19783;0,19783;0,05625;0,05625;0,05625;0,0444;0,04439;0,04439;0,05032;0,05032;0,05032;0,04617;0,04617;0,04617
"21";100;20;0;0;1;4;0,32829;0,32828;0,32828;0,05841;0,05841;0,05841;0,04616;0,04616;0,04616;0,04842;0,04842;0,04842;0,0467;0,0466800000000001;0,0466800000000001
"22";100;20;1;0;1;0,1;0,99857;0,99857;0,99857;0,99985;0,99985;0,99985;0,99985;0,99985;0,99985;0,99985;0,99985;0,99985;0,99985;0,99985;0,99985
"23";100;20;1;0;1;0,25;0,9984;0,9984;0,9984;0,99989;0,99989;0,99989;0,99988;0,99988;0,99988;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999
"24";100;20;1;0;1;0,5;0,99725;0,99725;0,99725;0,99919;0,99919;0,99919;0,99899;0,99899;0,99899;0,99911;0,99911;0,99911;0,99903;0,99903;0,99903
"25";100;20;1;0;1;1;0,97488;0,97488;0,97488;0,9671;0,9671;0,9671;0,96019;0,96019;0,96019;0,96536;0,96536;0,96536;0,96255;0,96255;0,96255
"26";100;20;1;0;1;10;0,44219;0,44219;0,44219;0,08941;0,08941;0,08941;0,07292;0,07292;0,07292;0,07343;0,07343;0,07343;0,0731;0,07309;0,07309
"27";100;20;1;0;1;2;0,82592;0,82591;0,82591;0,63491;0,63491;0,63491;0,59787;0,59787;0,59787;0,61544;0,61543;0,61543;0,60315;0,60314;0,60314
"28";100;20;1;0;1;4;0,58849;0,58849;0,58849;0,23976;0,23976;0,23976;0,2102;0,2102;0,2102;0,21564;0,21564;0,21564;0,21153;0,21152;0,21152
"29";100;50;0;0;1;0,1;0,006;0,00600000000000001;0,00600000000000001;0,04865;0,04865;0,04865;0,04583;0,04583;0,04583;0,04871;0,04871;0,04871;0,0488;0,0488;0,0488
"30";100;50;0;0;1;0,25;0,00802;0,00802000000000003;0,00802000000000003;0,04796;0,04795;0,04795;0,04502;0,04501;0,04501;0,04829;0,0482900000000001;0,0482900000000001;0,04853;0,04852;0,04852
"31";100;50;0;0;1;0,5;0,01712;0,01712;0,01712;0,04835;0,04835;0,04835;0,04556;0,04555;0,04555;0,04907;0,0490699999999999;0,0490699999999999;0,04923;0,04922;0,04922
"32";100;50;0;0;1;1;0,05006;0,05006;0,05006;0,0492;0,0492;0,0492;0,04651;0,0465100000000001;0,0465100000000001;0,04982;0,04982;0,04982;0,04922;0,04922;0,04922
"33";100;50;0;0;1;10;0,16738;0,16738;0,16738;0,04968;0,04967;0,04967;0,0468;0,0468;0,0468;0,0469;0,0469000000000001;0,0469000000000001;0,04686;0,04686;0,04686
"34";100;50;0;0;1;2;0,10854;0,10854;0,10854;0,05082;0,05081;0,05081;0,04819;0,04818;0,04818;0,05015;0,05015;0,05015;0,04937;0,04937;0,04937
"35";100;50;0;0;1;4;0,14988;0,14988;0,14988;0,05039;0,05039;0,05039;0,04733;0,04733;0,04733;0,04814;0,04813;0,04813;0,04772;0,04772;0,04772
"36";100;50;1;0;1;0,1;0,99973;0,99973;0,99973;0,99991;0,99991;0,99991;0,9999;0,9999;0,9999;0,99991;0,99991;0,99991;0,99991;0,99991;0,99991
"37";100;50;1;0;1;0,25;0,99978;0,99978;0,99978;0,99993;0,99993;0,99993;0,99993;0,99993;0,99993;0,99993;0,99993;0,99993;0,99993;0,99993;0,99993
"38";100;50;1;0;1;0,5;0,99973;0,99973;0,99973;0,99984;0,99984;0,99984;0,99983;0,99983;0,99983;0,99984;0,99984;0,99984;0,99983;0,99983;0,99983
"39";100;50;1;0;1;1;0,99905;0,99905;0,99905;0,9987;0,9987;0,9987;0,99862;0,99862;0,99862;0,99868;0,99868;0,99868;0,99866;0,99866;0,99866
"40";100;50;1;0;1;10;0,27875;0,27875;0,27875;0,11882;0,11882;0,11882;0,11368;0,11368;0,11368;0,11394;0,11394;0,11394;0,11376;0,11375;0,11375
"41";100;50;1;0;1;2;0,95327;0,95326;0,95326;0,90749;0,90749;0,90749;0,90366;0,90366;0,90366;0,90611;0,9061;0,9061;0,90512;0,90511;0,90511
"42";100;50;1;0;1;4;0,63279;0,63279;0,63279;0,43671;0,43669;0,43669;0,42734;0,42734;0,42734;0,42994;0,42993;0,42993;0,42876;0,42873;0,42873
"43";20;100;0;0;1;0,1;0,39168;0,39167;0,39167;0,04542;0,04542;0,04542;0,05709;0,05709;0,05709;0,04576;0,04576;0,04576;0,04551;0,0455100000000001;0,0455100000000001
"44";20;100;0;0;1;0,25;0,32842;0,32842;0,32842;0,04534;0,04534;0,04534;0,05735;0,05735;0,05735;0,04755;0,04754;0,04754;0,04586;0,0458499999999999;0,0458499999999999
"45";20;100;0;0;1;0,5;0,19747;0,19746;0,19746;0,04484;0,04483;0,04483;0,05695;0,05694;0,05694;0,05115;0,05115;0,05115;0,0469;0,04689;0,04689
"46";20;100;0;0;1;1;0,05183;0,05183;0,05183;0,04243;0,04242;0,04242;0,05411;0,05411;0,05411;0,05283;0,05283;0,05283;0,04781;0,04781;0,04781
"47";20;100;0;0;1;10;6e-05;5,9999999999949e-05;5,9999999999949e-05;0,03736;0,0373599999999999;0,0373599999999999;0,04848;0,04848;0,04848;0,04848;0,04848;0,04848;0,04866;0,04866;0,04866
