"n1";"n2";"m1";"m2";"sd1";"sd2";"p_cohen";"d_cohen";"g_cohen";"p_glass1";"d_glass1";"g_glass1";"p_glass2";"d_glass2";"g_glass2";"p'_cohen";"d'_cohen";"g'_cohen";"p_shieh";"d_shieh";"g_shieh"
"1";100;100;0;0;1;0,1;0,09219;0,09219;0,09219;0,09077;0,09076;0,09076;0,09077;0,09076;0,09076;0,09087;0,09087;0,09087;0,09087;0,09087;0,09087
"2";100;100;0;0;1;0,25;0,08532;0,08532;0,08532;0,08399;0,08399;0,08399;0,08399;0,08399;0,08399;0,08446;0,08446;0,08446;0,08446;0,08446;0,08446
"3";100;100;0;0;1;0,5;0,06486;0,06486;0,06486;0,06362;0,06362;0,06362;0,06362;0,06362;0,06362;0,06452;0,06451;0,06451;0,06452;0,06451;0,06451
"4";100;100;0;0;1;1;0,04502;0,04501;0,04501;0,04358;0,04358;0,04358;0,04358;0,04358;0,04358;0,04444;0,04444;0,04444;0,04444;0,04444;0,04444
"5";100;100;0;0;1;10;0,09204;0,09204;0,09204;0,0906;0,09058;0,09058;0,0906;0,0906;0,0906;0,09072;0,09072;0,09072;0,09072;0,09072;0,09072
"6";100;100;0;0;1;2;0,06339;0,06338;0,06338;0,06194;0,06193;0,06193;0,06194;0,06194;0,06194;0,06301;0,06301;0,06301;0,06301;0,06301;0,06301
"7";100;100;0;0;1;4;0,08551;0,08551;0,08551;0,08426;0,08425;0,08425;0,08426;0,08426;0,08426;0,08477;0,08477;0,08477;0,08477;0,08477;0,08477
"8";100;100;1;0;1;0,1;0,99999;0,99999;0,99999;0,99999;0,99999;0,99999;0,99999;0,99999;0,99999;0,99999;0,99999;0,99999;0,99999;0,99999;0,99999
"9";100;100;1;0;1;0,25;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"10";100;100;1;0;1;0,5;0,99998;0,99998;0,99998;0,99998;0,99998;0,99998;0,99998;0,99998;0,99998;0,99998;0,99998;0,99998;0,99998;0,99998;0,99998
"11";100;100;1;0;1;1;0,99878;0,99878;0,99878;0,99876;0,99876;0,99876;0,99876;0,99876;0,99876;0,99877;0,99877;0,99877;0,99877;0,99877;0,99877
"12";100;100;1;0;1;10;0,309;0,309;0,309;0,30648;0,30648;0,30648;0,30648;0,30648;0,30648;0,30671;0,30671;0,30671;0,30671;0,30671;0,30671
"13";100;100;1;0;1;2;0,95466;0,95466;0,95466;0,95392;0,95392;0,95392;0,95392;0,95392;0,95392;0,95415;0,95415;0,95415;0,95415;0,95415;0,95415
"14";100;100;1;0;1;4;0,68657;0,68657;0,68657;0,68396;0,68396;0,68396;0,68396;0,68396;0,68396;0,68442;0,68441;0,68441;0,68442;0,68441;0,68441
"15";100;20;0;0;1;0,1;0,00616;0,00616000000000005;0,00616000000000005;0,0843;0,0843;0,0843;0,07262;0,07262;0,07262;0,08438;0,08438;0,08438;0,08451;0,08451;0,08451
"16";100;20;0;0;1;0,25;0,01013;0,01013;0,01013;0,05795;0,0579499999999999;0,0579499999999999;0,04672;0,04672;0,04672;0,05802;0,05802;0,05802;0,05678;0,0567800000000001;0,0567800000000001
"17";100;20;0;0;1;0,5;0,01916;0,01916;0,01916;0,04396;0,04396;0,04396;0,03253;0,0325299999999999;0,0325299999999999;0,04334;0,04333;0,04333;0,04188;0,04188;0,04188
"18";100;20;0;0;1;1;0,04659;0,04658;0,04658;0,10556;0,10556;0,10556;0,09236;0,09236;0,09236;0,10529;0,10527;0,10527;0,10341;0,10341;0,10341
"19";100;20;0;0;1;10;0,44574;0,44573;0,44573;0,17541;0,17541;0,17541;0,16425;0,16425;0,16425;0,16554;0,16553;0,16553;0,16451;0,16451;0,16451
"20";100;20;0;0;1;2;0,20756;0,20755;0,20755;0,15699;0,15697;0,15697;0,14439;0,14439;0,14439;0,15511;0,15511;0,15511;0,15003;0,15003;0,15003
"21";100;20;0;0;1;4;0,37163;0,37163;0,37163;0,17159;0,17159;0,17159;0,16008;0,16008;0,16008;0,16542;0,16542;0,16542;0,16172;0,16171;0,16171
"22";100;20;1;0;1;0,1;0,99822;0,99822;0,99822;1;1;1;1;1;1;1;1;1;1;1;1
"23";100;20;1;0;1;0,25;0,99813;0,99813;0,99813;0,99977;0,99977;0,99977;0,99968;0,99968;0,99968;0,99975;0,99975;0,99975;0,9997;0,9997;0,9997
"24";100;20;1;0;1;0,5;0,99413;0,99412;0,99412;0,99035;0,99035;0,99035;0,98899;0,98899;0,98899;0,98979;0,98979;0,98979;0,98925;0,98925;0,98925
"25";100;20;1;0;1;1;0,9526;0,95259;0,95259;0,90562;0,90562;0,90562;0,89654;0,89654;0,89654;0,90163;0,90163;0,90163;0,89817;0,89817;0,89817
"26";100;20;1;0;1;10;0,53274;0,53274;0,53274;0,28787;0,28787;0,28787;0,27271;0,27271;0,27271;0,27409;0,27409;0,27409;0,27309;0,27309;0,27309
"27";100;20;1;0;1;2;0,82288;0,82287;0,82287;0,68698;0,68697;0,68697;0,66851;0,66851;0,66851;0,67647;0,67646;0,67646;0,67099;0,67099;0,67099
"28";100;20;1;0;1;4;0,65661;0,65661;0,65661;0,45635;0,45635;0,45635;0,43832;0,43832;0,43832;0,44336;0,44336;0,44336;0,43932;0,43932;0,43932
"29";100;50;0;0;1;0,1;0,03731;0,03731;0,03731;0,08948;0,08948;0,08948;0,08669;0,08668;0,08668;0,08962;0,08962;0,08962;0,08979;0,08979;0,08979
"30";100;50;0;0;1;0,25;0,03679;0,03679;0,03679;0,07581;0,07581;0,07581;0,07299;0,07299;0,07299;0,07641;0,07641;0,07641;0,07641;0,07641;0,07641
"31";100;50;0;0;1;0,5;0,03644;0,03644;0,03644;0,04938;0,04938;0,04938;0,0464;0,0464;0,0464;0,04991;0,04991;0,04991;0,04964;0,04964;0,04964
"32";100;50;0;0;1;1;0,04355;0,04355;0,04355;0,05267;0,05267;0,05267;0,04973;0,04972;0,04972;0,05282;0,05281;0,05281;0,05268;0,0526799999999999;0,0526799999999999
