	N1	N2	M1	M2	MAXVR1	MAXVR2	MAXVR3
1	100	100	0	0	2,266418712	38,73104412	212,3841836
2	100	100	1	0	2,161803566	105,6326124	177,3130564
3	100	100	2	0	2,277816832	43,03955494	127,3705781
4	100	100	3	0	2,803746919	28,73164442	101,1807452
5	100	100	4	0	2,401671893	20,23036072	94,48551437
6	100	20	0	0	5,586859188	49,07752298	230,804843
7	100	20	1	0	5,548246439	46,74380986	467,4413402
8	100	20	2	0	4,057132126	119,0945045	347,0580378
9	100	20	3	0	5,837568039	237,1390157	212,8519136
10	100	20	4	0	6,131296083	46,70913595	369,1480694
11	100	50	0	0	2,665443912	30,18654317	141,507366
12	100	50	1	0	2,68595072	36,30066904	142,3647033
13	100	50	2	0	2,762784662	35,52757385	91,08790425
14	100	50	3	0	2,469601024	68,23883904	96,24575992
15	100	50	4	0	2,969853036	28,33869798	67,63205773
16	20	100	0	0	5,068009981	151,3053974	285,4052784
17	20	100	1	0	4,745626278	40,1019272	475,2416976
18	20	100	2	0	4,476599704	71,67913241	400,3238596
19	20	100	3	0	5,351201815	23,99755315	446,6323496
20	20	100	4	0	7,906205842	145,1457192	2721,316348
21	20	20	0	0	7,728031294	254,0922865	1917,417757
22	20	20	1	0	7,152032461	49,94997411	1294,64194
23	20	20	2	0	7,961789248	98,6444658	790,2379855
24	20	20	3	0	7,250661514	81,77230617	1677,426492
25	20	20	4	0	10,1255421	41,96895148	555,4186516
26	20	50	0	0	7,021316593	59,94044478	1746,194335
27	20	50	1	0	4,136079855	33,70164521	484,1089141
28	20	50	2	0	5,951636973	38,03029049	394,178392
29	20	50	3	0	5,311664786	60,6617107	417,3283137
30	20	50	4	0	7,533140817	122,5410171	1394,253632
31	50	100	0	0	2,773909728	32,31608974	83,41161476
32	50	100	1	0	3,118264488	53,07023223	191,2007659
33	50	100	2	0	2,667769805	37,27221164	80,59550359
34	50	100	3	0	2,848727332	33,9434627	104,732714
35	50	100	4	0	2,980230326	53,44091989	61,10465296
36	50	20	0	0	4,901023184	44,27086915	656,8218889
37	50	20	1	0	5,817373474	50,39613066	689,5071134
38	50	20	2	0	4,640606857	27,46975645	702,5032319
39	50	20	3	0	7,403165879	46,82374446	496,7996406
40	50	20	4	0	5,191983967	174,6677351	287,7087193
41	50	50	0	0	3,170423226	161,5760686	152,3085331
42	50	50	1	0	3,388720274	77,49051251	92,0680259
43	50	50	2	0	2,845613917	59,87454279	208,8246015
44	50	50	3	0	3,503112534	96,4868001	160,8616045
45	50	50	4	0	3,296731159	126,446122	321,9105237
							
				Max:	10,1255421	254,0922865	2721,316348
