	N1	N2	M1	M2	MEDVR1	MEDVR2	MEDVR3	MADVR1	MADVR2	MADVR3
1	100	100	0	0	1,146689473	1,311770134	1,752127662	0,135314484	0,308983917	0,813112908
2	100	100	1	0	1,147511171	1,309554137	1,773071728	0,137051323	0,311166233	0,845139613
3	100	100	2	0	1,145165168	1,322645586	1,7733802	0,135050885	0,321971167	0,824134235
4	100	100	3	0	1,146829191	1,314397012	1,777207165	0,136519105	0,30863134	0,829702993
5	100	100	4	0	1,144590229	1,309579532	1,760166693	0,134748334	0,309931144	0,827919355
6	100	20	0	0	1,270548684	1,523862487	2,506794905	0,257678499	0,534338131	1,763758552
7	100	20	1	0	1,273267629	1,529717777	2,487555859	0,262435351	0,543432669	1,738162917
8	100	20	2	0	1,268752073	1,507995944	2,441628363	0,259518359	0,523270165	1,666327542
9	100	20	3	0	1,266062169	1,515381125	2,477154429	0,26050588	0,536045974	1,686830061
10	100	20	4	0	1,268152573	1,528396337	2,462365755	0,262708561	0,550625311	1,697774938
11	100	50	0	0	1,179454523	1,368059651	1,932232736	0,170065493	0,374275805	1,036549974
12	100	50	1	0	1,182286494	1,380697714	1,959490938	0,169411489	0,382855995	1,065769425
13	100	50	2	0	1,181837759	1,371210403	1,980516037	0,170929371	0,37569123	1,082578484
14	100	50	3	0	1,182257136	1,374895282	1,951191451	0,171999163	0,37568334	1,050276393
15	100	50	4	0	1,181794255	1,365805654	1,940316554	0,170894643	0,372414826	1,024881725
16	20	100	0	0	1,271415706	1,524409613	2,456508193	0,263810776	0,538626239	1,672612992
17	20	100	1	0	1,269430835	1,526682072	2,431821808	0,262186857	0,535982668	1,660648575
18	20	100	2	0	1,276814128	1,514487122	2,451655438	0,268992005	0,531907807	1,700583034
19	20	100	3	0	1,269246341	1,526810381	2,493396114	0,257612217	0,544105644	1,750450956
20	20	100	4	0	1,271291305	1,518520435	2,471742332	0,263533418	0,529302298	1,703468139
21	20	20	0	0	1,373376243	1,647937916	2,95222996	0,369404276	0,6952499	2,355664282
22	20	20	1	0	1,370551684	1,661075642	2,938808917	0,370252198	0,706908165	2,332143625
23	20	20	2	0	1,364394676	1,6486905	2,963890752	0,365652107	0,683495863	2,360470183
24	20	20	3	0	1,369584798	1,662655313	2,914877345	0,367358142	0,697649204	2,304118417
25	20	20	4	0	1,367307532	1,642640172	2,964104705	0,354130216	0,682922961	2,354161735
26	20	50	0	0	1,301242485	1,553750297	2,613950632	0,291676966	0,568776047	1,893501852
27	20	50	1	0	1,300424089	1,559180883	2,565508358	0,289438871	0,584538015	1,840723359
28	20	50	2	0	1,301439093	1,545417403	2,565602744	0,291452304	0,56095202	1,839318682
29	20	50	3	0	1,28954818	1,566073317	2,620349832	0,283745451	0,58876222	1,90482767
30	20	50	4	0	1,298157702	1,565561595	2,594526368	0,291743118	0,588120181	1,864327378
31	50	100	0	0	1,183076533	1,369732025	1,985003035	0,169810539	0,378382222	1,087692008
32	50	100	1	0	1,183030522	1,37307077	1,941123173	0,171812234	0,366345969	1,036477933
33	50	100	2	0	1,182846331	1,383171358	1,986155001	0,173733626	0,386335026	1,101011572
34	50	100	3	0	1,179814484	1,380123511	1,947454765	0,172791596	0,378990449	1,058799533
35	50	100	4	0	1,182302268	1,381071598	1,951508848	0,168419702	0,385060164	1,068631351
36	50	20	0	0	1,289231222	1,555511748	2,590183064	0,280840444	0,574594036	1,864153038
37	50	20	1	0	1,300806404	1,560236018	2,526736847	0,290138507	0,586250499	1,796190111
38	50	20	2	0	1,302041685	1,561229786	2,556470415	0,287159097	0,584317191	1,836707403
39	50	20	3	0	1,30199098	1,553593083	2,525726436	0,293684903	0,572379414	1,805716265
40	50	20	4	0	1,294865645	1,560938006	2,545384289	0,288084105	0,582079653	1,832149612
41	50	50	0	0	1,209907872	1,42953698	2,088803263	0,202515615	0,438296807	1,226658319
42	50	50	1	0	1,207697964	1,424742488	2,113475126	0,198979758	0,426215769	1,255795402
43	50	50	2	0	1,21137661	1,433858187	2,116567997	0,19822029	0,447256697	1,260716927
44	50	50	3	0	1,212256855	1,425404509	2,128321626	0,200862972	0,432812015	1,239713229
45	50	50	4	0	1,21777048	1,422316365	2,149377926	0,206800775	0,428750449	1,281784373
										
					1,373376243	1,662655313	2,964104705	0,370252198	0,706908165	2,360470183
