"N1";"N2";"M1";"M2";"PROPVR1";"PROPVR2";"PROPVR3"
"1";100;100;0;0;0;0,0235;0,196
"2";100;100;1;0;0;0,0208;0,2061
"3";100;100;2;0;0;0,0241;0,196
"4";100;100;3;0;0;0,0233;0,2015
"5";100;100;4;0;0;0,0211;0,1948
"6";100;20;0;0;0,004;0,0905;0,4191
"7";100;20;1;0;0,0033;0,085;0,4139
"8";100;20;2;0;0,0033;0,089;0,405
"9";100;20;3;0;0,0045;0,0885;0,4104
"10";100;20;4;0;0,0042;0,0942;0,4086
"11";100;50;0;0;0;0,0393;0,2679
"12";100;50;1;0;0;0,0359;0,2746
"13";100;50;2;0;0;0,0378;0,2776
"14";100;50;3;0;0;0,04;0,2694
"15";100;50;4;0;0;0,0374;0,2714
"16";20;100;0;0;0,0038;0,0958;0,4113
"17";20;100;1;0;0,0044;0,0906;0,4057
"18";20;100;2;0;0,0041;0,0963;0,4128
"19";20;100;3;0;0,0036;0,0902;0,4168
"20";20;100;4;0;0,0053;0,0847;0,4138
"21";20;20;0;0;0,0208;0,1515;0,494
"22";20;20;1;0;0,0209;0,1557;0,4916
"23";20;20;2;0;0,0224;0,153;0,4948
"24";20;20;3;0;0,0214;0,1499;0,4883
"25";20;20;4;0;0,0183;0,1533;0,4954
"26";20;50;0;0;0,0063;0,104;0,4397
"27";20;50;1;0;0,0062;0,1026;0,4336
"28";20;50;2;0;0,006;0,1018;0,4342
"29";20;50;3;0;0,007;0,1093;0,4448
"30";20;50;4;0;0,0075;0,1106;0,4376
"31";50;100;0;0;0;0,035;0,2797
"32";50;100;1;0;2e-04;0,036;0,2658
"33";50;100;2;0;0;0,04;0,28
"34";50;100;3;0;0;0,0383;0,2731
"35";50;100;4;0;0;0,0411;0,2769
"36";50;20;0;0;0,0061;0,1035;0,4337
"37";50;20;1;0;0,006;0,1056;0,4316
"38";50;20;2;0;0,0068;0,1099;0,4326
"39";50;20;3;0;0,0066;0,1019;0,4255
"40";50;20;4;0;0,0064;0,1064;0,4345
"41";50;50;0;0;2e-04;0,0533;0,3205
"42";50;50;1;0;4e-04;0,0543;0,3233
"43";50;50;2;0;0;0,0555;0,3256
"44";50;50;3;0;2e-04;0,0567;0,3201
"45";50;50;4;0;3e-04;0,0582;0,3286
